SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Channel,Region Code,serviceName
2QMRU5HRAQNQACG7,JRTCKXETXF,2QMRU5HRAQNQACG7.JRTCKXETXF.UHPA5WKPB8,OnDemand,End customer minutes used,2025-05-01,0,90,Minutes,0.0000000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-end-customer-mins,,voice,us-east-1,Amazon Connect
2QMRU5HRAQNQACG7,JRTCKXETXF,2QMRU5HRAQNQACG7.JRTCKXETXF.XUVT8UVDUW,OnDemand,End customer minutes used,2025-05-01,90,Inf,Minutes,0.0180000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-end-customer-mins,,voice,us-east-1,Amazon Connect
2Y7S7BHD2722NAV2,JRTCKXETXF,2Y7S7BHD2722NAV2.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Contact Lens external voice connectors,2025-05-01,0,Inf,Month,3100.0000000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-contact-lens-connector-months,,,us-east-1,Amazon Connect
389VJNE6KCT27KEC,JRTCKXETXF,389VJNE6KCT27KEC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Outbound Campaigns Email sent ,2025-05-01,0,Inf,Messages,0.0050000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-Outbound-Campaigns-Email-Sent,,,us-east-1,Amazon Connect
3G8UHHY2DS3N8FPZ,JRTCKXETXF,3G8UHHY2DS3N8FPZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Global Resiliency high volume traffic used,2025-05-01,0,Inf,Minute,0.0360000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-multi-region-high-volume-traffic-end-customer-mins,,,us-east-1,Amazon Connect
3Q2KZZDHYE8Z4J6U,JRTCKXETXF,3Q2KZZDHYE8Z4J6U.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Agents Scheduled,2025-05-01,0,Inf,Count,0.0000000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-agents-forecasted,,,us-east-1,Amazon Connect
3R7TAVFYD78JAB7S,JRTCKXETXF,3R7TAVFYD78JAB7S.JRTCKXETXF.6YS6EN2CT7,OnDemand,Guided messages used,2025-05-01,0,Inf,Message,0.0050000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-guided-message,,,us-east-1,Amazon Connect
3Z8M3SEG5RTFJ7RB,JRTCKXETXF,3Z8M3SEG5RTFJ7RB.JRTCKXETXF.6YS6EN2CT7,OnDemand,Global Resiliency chat messages used,2025-05-01,0,Inf,Messages,0.0058000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-multi-region-chat-message,,,us-east-1,Amazon Connect
42P3XU37BVQ7UBTH,JRTCKXETXF,42P3XU37BVQ7UBTH.JRTCKXETXF.C2QCTD4VXQ,OnDemand,Chat messages used,2025-05-01,0,500,Messages,0.0000000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-chat-message,,,us-east-1,Amazon Connect
42P3XU37BVQ7UBTH,JRTCKXETXF,42P3XU37BVQ7UBTH.JRTCKXETXF.TAV9HKW45C,OnDemand,Chat messages used,2025-05-01,500,Inf,Messages,0.0040000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-chat-message,,,us-east-1,Amazon Connect
433DCB98BKBE9URG,JRTCKXETXF,433DCB98BKBE9URG.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Outbound Campaigns,2025-05-01,0,Inf,Minute,0.0450000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-high-volume-traffic-end-customer-mins,,,us-east-1,Amazon Connect
5ZY4WCRT6DR835QW,JRTCKXETXF,5ZY4WCRT6DR835QW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0144 per Message for Global-Resiliency- WhatsApp-Business-messages-serviced in US East (N. Virginia),2025-05-01,0,Inf,Messages,0.0144000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-multi-region-WBM-message,,,us-east-1,Amazon Connect
9G86JFSTE8RTJ5K4,JRTCKXETXF,9G86JFSTE8RTJ5K4.JRTCKXETXF.6YS6EN2CT7,OnDemand,Global Resiliency AMB messages serviced,2025-05-01,0,Inf,Messages,0.0144000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-multi-region-AMB-message,,,us-east-1,Amazon Connect
9J6UXV5SNDQDQ885,JRTCKXETXF,9J6UXV5SNDQDQ885.JRTCKXETXF.6YS6EN2CT7,OnDemand,Free trial for agents scheduled or forecasted,2025-05-01,0,Inf,Count,0.0000000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-free-trial-agents-scheduled-or-forecasted,,,us-east-1,Amazon Connect
ARCWXSXMYNNVRQHU,JRTCKXETXF,ARCWXSXMYNNVRQHU.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Apple Messages for Business GR,2025-05-01,0,Inf,Messages,0.0202000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-multi-region-AMB-message,,,us-east-1,Amazon Connect
B28843FWWT9DNR4D,JRTCKXETXF,B28843FWWT9DNR4D.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0144 per Message for Multi-region SMS messages used in US East (N. Virginia),2025-05-01,0,Inf,Messages,0.0144000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-multi-region-SMS-message,,,us-east-1,Amazon Connect
BRZMFXFZUH5UVXAR,JRTCKXETXF,BRZMFXFZUH5UVXAR.JRTCKXETXF.6YS6EN2CT7,OnDemand,Contact Lens external voice minutes,2025-05-01,0,Inf,Minute,0.0120000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-contact-lens-integration-mins,,,us-east-1,Amazon Connect
CF8KZG5RME3C9F5J,JRTCKXETXF,CF8KZG5RME3C9F5J.JRTCKXETXF.6YS6EN2CT7,OnDemand,Global Resiliency tasks created,2025-05-01,0,Inf,Count,0.0580000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-multi-region-tasks,,,us-east-1,Amazon Connect
CSXGQBAY23QVZ4F7,JRTCKXETXF,CSXGQBAY23QVZ4F7.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Chat experiences using step-by-step guides GR,2025-05-01,0,Inf,Messages,0.0202000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-multi-region-guided-message,,,us-east-1,Amazon Connect
D97UKRJGMSKJJFAY,JRTCKXETXF,D97UKRJGMSKJJFAY.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Voice Minutes GR,2025-05-01,0,Inf,Minute,0.0550000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-multi-region-end-customer-mins,,,us-east-1,Amazon Connect
DYNQWGDTNEANB4SH,JRTCKXETXF,DYNQWGDTNEANB4SH.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS messages used,2025-05-01,0,Inf,Messages,0.0100000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-SMS-message,,,us-east-1,Amazon Connect
EA228BHW9ZJPSNY9,JRTCKXETXF,EA228BHW9ZJPSNY9.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Chat experiences using step-by-step guides,2025-05-01,0,Inf,Messages,0.0100000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-guided-message,,,us-east-1,Amazon Connect
EBGV3GHCBJD4U2X6,JRTCKXETXF,EBGV3GHCBJD4U2X6.JRTCKXETXF.6YS6EN2CT7,OnDemand,Outbound Campaigns Voice Calls Made,2025-05-01,0,Inf,Count,0.0050000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-Outbound-Campaigns-Voice-calls,,,us-east-1,Amazon Connect
ESSW3NX9PWR2M35W,JRTCKXETXF,ESSW3NX9PWR2M35W.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Apple Messages for Business,2025-05-01,0,Inf,Messages,0.0140000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-AMB-message,,,us-east-1,Amazon Connect
FJJR72SCNAMACRW2,JRTCKXETXF,FJJR72SCNAMACRW2.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Screen Recording,2025-05-01,0,Inf,Minute,0.0000000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-agent-screen-recording-mins,,,us-east-1,Amazon Connect
FXJGCWY4WHDDZSQV,JRTCKXETXF,FXJGCWY4WHDDZSQV.JRTCKXETXF.6YS6EN2CT7,OnDemand,Outbound Campaigns SMS sent ,2025-05-01,0,Inf,Messages,0.0050000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-Outbound-Campaigns-SMS-Sent,,,us-east-1,Amazon Connect
G5B5DZC2277MWJYC,JRTCKXETXF,G5B5DZC2277MWJYC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Outbound Campaigns GR,2025-05-01,0,Inf,Minute,0.0650000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-multi-region-high-volume-traffic-end-customer-mins,,,us-east-1,Amazon Connect
